Timestamp,What Grade do you have in PF?,What Grade do you have in OOPs?,Your intermediate percentage?,Did you have any prior programming knowledge before starting your Bachelors?,Are you involved in any part-time job or freelancing?,Are you involved in any extracurricular activities? (sports or other hobbies),Do you take any programming courses other than the university?,How much time per week are you putting into studying?,What is your bedtime?,Bachelor's Program,Gender,How frequently do you use your social media platforms?,Are you part of any society?,"On a scale of 1 to 5, how much would you rate your programming skills?",Are you a:
11/26/2023 21:18:02,A-,B+,71% - 80%,Yes,No,Yes,No,0 - 4 hours,11:00 PM,Data Sciences,Male,2,Yes,3,Day Scholar
11/26/2023 21:25:10,A,B+,71% - 80%,Yes,No,Yes,Yes,0 - 4 hours,11:00 PM,Data Sciences,Male,3,Yes,4,Day Scholar
11/26/2023 21:25:30,C+,C+,81% - 90%,No,No,No,No,8-12 hours,11:00 PM,Data Sciences,Female,3,Yes,2,Hostelite
11/26/2023 21:25:53,A,A,71% - 80%,Yes,Yes,Yes,No,0 - 4 hours,1:00 AM,Data Sciences,Male,5,Yes,3,Day Scholar
11/26/2023 21:26:06,B-,B,81% - 90%,No,No,Yes,No,0 - 4 hours,11:00 PM,Data Sciences,Female,5,Yes,3,Day Scholar
11/26/2023 21:26:46,B+,B,71% - 80%,Yes,Yes,No,No,0 - 4 hours,12:00 AM,Data Sciences,Male,5,Yes,4,Day Scholar
11/26/2023 21:27:29,B+,A-,81% - 90%,Yes,No,No,No,4-8 hours,11:00 PM,Data Sciences,Female,5,Yes,4,Hostelite
11/26/2023 21:30:38,B-,A-,71% - 80%,Yes,No,Yes,Yes,4-8 hours,12:00 AM,Data Sciences,Male,5,Yes,3,Day Scholar
11/26/2023 21:30:50,B,B,81% - 90%,Yes,Yes,No,No,8-12 hours,10:00 PM,Data Sciences,Male,4,No,4,Hostelite
11/26/2023 21:30:50,B,B+,71% - 80%,No,No,No,No,0 - 4 hours,1:00 AM,Data Sciences,Male,3,No,4,Day Scholar
11/26/2023 21:31:20,B+,B+,81% - 90%,No,Yes,No,No,4-8 hours,1:00 AM,Data Sciences,Female,3,Yes,3,Day Scholar
11/26/2023 21:33:31,C+,B-,81% - 90%,No,No,Yes,Yes,8-12 hours,12:00 AM,Data Sciences,Female,3,Yes,3,Day Scholar
11/26/2023 21:36:42,A,A,71% - 80%,Yes,No,Yes,Yes,0 - 4 hours,12:00 AM,Computer Sciences,Male,1,Yes,3,Day Scholar
11/26/2023 21:38:06,B+,B+,71% - 80%,No,No,Yes,Yes,0 - 4 hours,12:00 AM,Artificial Intelligence,Male,4,Yes,2,Hostelite
11/26/2023 21:38:56,B+,B,71% - 80%,Yes,No,Yes,No,4-8 hours,12:00 AM,Artificial Intelligence,Male,5,Yes,2,Hostelite
11/26/2023 21:38:58,A-,B+,61% - 70%,Yes,No,Yes,No,8-12 hours,11:00 PM,Data Sciences,Female,3,Yes,4,Hostelite
11/26/2023 21:39:15,A-,B,71% - 80%,Yes,Yes,Yes,No,0 - 4 hours,1:00 AM,Gaming and Multimedia,Female,5,Yes,3,Day Scholar
11/26/2023 21:39:28,A,A,91% - 99%,No,Yes,Yes,No,More than 20 hours (Are you okay?),1:00 AM,Cyber Security,Male,1,Yes,4,Hostelite
11/26/2023 21:41:07,B-,B-,91% - 99%,No,Yes,No,No,4-8 hours,11:00 PM,Data Sciences,Male,4,No,3,Hostelite
11/26/2023 21:42:01,B-,B-,81% - 90%,No,No,No,No,0 - 4 hours,11:00 PM,Data Sciences,Male,4,Yes,2,Day Scholar
11/26/2023 21:43:31,A,A-,91% - 99%,Yes,No,Yes,Yes,16-20 hours,12:00 AM,Software Engineering,Female,3,Yes,3,Hostelite
11/26/2023 21:45:19,C,C+,61% - 70%,No,No,No,No,4-8 hours,9:00 PM,Data Sciences,Male,4,No,3,Hostelite
11/26/2023 21:47:21,B+,A,81% - 90%,No,No,No,Yes,4-8 hours,12:00 AM,Artificial Intelligence,Male,3,Yes,3,Hostelite
